filename,heroVisualId,,,,,,heroVisualId,Animation Title,,,filename,heroVisualId,,,
ABM90Days.tsx,abm-90-days,,,,,,abm-campaign-radar-analysis-v2,Abm Campaign Radar Analysis,,,ABM90Days.tsx,abm-90-days,,,
abm-network-dashboard.tsx,abm-network-dashboard,,,,,,abm-flow-premium-tile-v2,Abm Flow Premium Tile,,,abm-network-dashboard.tsx,abm-network-dashboard,,,
ABM-Pipeline-Strategy.tsx,abm-pipeline-strategy,,,,,,abm-network-dashboard-v2,Abm Network Dashboard,,,ABM-Pipeline-Strategy.tsx,abm-pipeline-strategy,,,
ABMPipeTrackerTile.tsx,a-b-m-pipe-tracker-tile,,,,,,abm-pipeline-strategy-dashboard,Abm Pipeline Strategy Dashboard,,,ABMPipeTrackerTile.tsx,a-b-m-pipe-tracker-tile,,,
ABM-Radar-Analysis.tsx,abm-radar-analysis,,,,,,abm-pipeline-strategy-dashboard-v2,Abm Pipeline Strategy Dashboard,,,ABM-Radar-Analysis.tsx,abm-radar-analysis,,,
ABMTileAnimation.tsx,abm-tile-animation,,,,,,abm-radar-analysis-v2,ABM Radar Analysis,,,ABMTileAnimation.tsx,abm-tile-animation,,,
AIGrowth.tsx,ai-growth,,,,,,abm-success-visualizer-v2,Abm Success Visualizer,,,AIGrowth.tsx,ai-growth,,,
ApexShieldLifecycleEngine.tsx,apex-shield-lifecycle-engine,,,,,,advocacy-loop-dashboard-v2,Advocacy Loop Dashboard,,,ApexShieldLifecycleEngine.tsx,apex-shield-lifecycle-engine,,,
automation-engine-dashboard.tsx,automation-engine-dashboard,,,,,,aerospace-auto-engineering-workflow-v2,Aerospace Auto Engineering Workflow,,,automation-engine-dashboard.tsx,automation-engine-dashboard,,,
CampaignTile.tsx,campaign-tile,,,,,,agency-impact-dashboard-v2,Agency Impact Dashboard,,,CampaignTile.tsx,campaign-tile,,,
ClinicalHolographicControlSurface.tsx,clinical-holographic-control-surface,,,,,,agency-performance-console-v2,Agency Performance Console,,,ClinicalHolographicControlSurface.tsx,clinical-holographic-control-surface,,,
Content-Engagement-Marketing.tsx,content-engagement-marketing,,,,,,apex-real-time-dashboard-v2,Apex Real Time Dashboard,,,Content-Engagement-Marketing.tsx,content-engagement-marketing,,,
ContentEngagementTile.tsx,content-engagement-tile,,,,,,automotive-hero-dashboard-component-v2,Automotive Hero Dashboard Component,,,ContentEngagementTile.tsx,content-engagement-tile,,,
ContentMarketing.tsx,content-marketing-base,,,,,,automotivehero-dashboard-component-v2,Automotivehero Dashboard Component,,,ContentMarketing.tsx,content-marketing-base,,,
Content-Marketing.tsx,content-marketing-mdx,,,,,,automotivehero-growth-dashboard-tile-v2,Automotivehero Growth Dashboard Tile,,,Content-Marketing.tsx,content-marketing-mdx,,,
ContentMarketingAnimation.tsx,content-marketing-animation,,,,,,b2b-consulting-portfolio-gtmstack-pro,B2b Consulting Portfolio Gtmstack Pro,,,ContentMarketingAnimation.tsx,content-marketing-animation,,,
ContentMarketingHero.tsx,content-marketing-hero,,,,,,clinical-holographic-control-surface-v2,Clinical Holographic Control Surface,,,ContentMarketingHero.tsx,content-marketing-hero,,,
ContentStrategistDashboard.tsx,content-strategist-dashboard,,,,,,clinical-validation-surface-dash-v2,Clinical Validation Surface Dash,,,ContentStrategistDashboard.tsx,content-strategist-dashboard,,,
CRMCampaignsTile.tsx,crm-campaigns-tile,,,,,,content-engagement-hero-v2,Content Engagement Hero,,,CRMCampaignsTile.tsx,crm-campaigns-tile,,,
DemandGenerationHero.tsx,demand-generation-hero,,,,,,content-engagement-marketing-dashboard-v2,Content Engagement Marketing Dashboard,,,DemandGenerationHero.tsx,demand-generation-hero,,,
DemandGenerationHeroTile.tsx,demand-generation-hero-tile,,,,,,content-marketing-kpi-dashboard-v2,Content Marketing Kpi Dashboard,,,DemandGenerationHeroTile.tsx,demand-generation-hero-tile,,,
DemandGenFlow.tsx,demand-gen-flow,,,,,,content-marketing-with-ai-v2,Content Marketing With Ai,,,DemandGenFlow.tsx,demand-gen-flow,,,
DemandGrowthTile.tsx,demand-growth-tile,,,,,,cyberagency-lifecycle-engine-v2,Cyberagency Lifecycle Engine,,,DemandGrowthTile.tsx,demand-growth-tile,,,
Developer-Marketing.tsx,developer-marketing,,,,,,demand-gen-hero-v2,Demand Gen Hero,,,Developer-Marketing.tsx,developer-marketing,,,
DevMarketers.tsx,dev-marketers,,,,,,demandgen-pipeline-hero-v2,Demandgen Pipeline Hero,,,DevMarketers.tsx,dev-marketers,,,
DriftGuard.tsx,drift-guard,,,,,,demandgrowthhero-component-v2,Demandgrowthhero Component,,,DriftGuard.tsx,drift-guard,,,
EdJourneyK12Ecosystem.tsx,ed-journey-k12-ecosystem,,,,,,devconsole-content-workflow-v2,Devconsole Content Workflow,,,EdJourneyK12Ecosystem.tsx,ed-journey-k12-ecosystem,,,
EdTechCompactROIFunnel.tsx,ed-tech-compact-r-o-i-funnel,,,,,,devmarketers-bottom-up-adoption-loop-v2,Devmarketers Bottom Up Adoption Loop,,,EdTechCompactROIFunnel.tsx,ed-tech-compact-r-o-i-funnel,,,
EduMarketersDashboard.tsx,edu-marketers-dashboard,,,,,,driftguard-ai-monitor-v2,Driftguard Ai Monitor,,,EduMarketersDashboard.tsx,edu-marketers-dashboard,,,
EDUMarketingTile.tsx,e-d-u-marketing-tile,,,,,,driftguard-v2,Driftguard,,,EDUMarketingTile.tsx,e-d-u-marketing-tile,,,
EmailMarketingHero.tsx,email-marketing-hero,,,,,,dynamic-wealth-dashboard-tile-v2,Dynamic Wealth Dashboard Tile,,,EmailMarketingHero.tsx,email-marketing-hero,,,
EnergyFlowDigital.tsx,energy-flow-digital,,,,,,edtech-compact-roi-funnel-v2,Edtech Compact Roi Funnel,,,EnergyFlowDigital.tsx,energy-flow-digital,,,
EnergyGridTile.tsx,energy-grid-tile,,,,,,edtech-compact-roi-funnel-v3,Edtech Compact Roi Funnel,,,EnergyGridTile.tsx,energy-grid-tile,,,
EngineeringWorkflow.tsx,engineering-workflow,,,,,,edu-hero-analytics-dashboard-v2,Edu Hero Analytics Dashboard,,,EngineeringExcellenceWorkflowTile.tsx,engineering-excellence-workflow,,,
EngineeringWorkflowSystem.tsx,engineering-workflow-system,,,,,,edu-marketers-dashboard-v2,Edu Marketers Dashboard,,,EngineeringWorkflow.tsx,engineering-workflow,,,
EnterpriseSalesMotionDashboard.tsx,enterprise-sales-motion,,,,,,education-journey-k-12-ecosystem-v2,Education Journey K 12 Ecosystem,,,EngineeringWorkflowSystem.tsx,engineering-workflow-system,,,
EocLogisticsDashboard.tsx,eoc-logistics-dashboard,,,,,,email-marketing-json-lottie-v2,Email Marketing Json Lottie,,,EnterpriseSalesMotionDashboard.tsx,enterprise-sales-motion,,,
EsgAnalyticsHub.tsx,esg-analytics-hub,,,,,,energyflow-minimal-dashboard-v2,Energyflow Minimal Dashboard,,,EocLogisticsDashboard.tsx,eoc-logistics-dashboard,,,
EventMarketing.tsx,event-marketing,,,,,,engineering-excellence-workflow-system-v2,Engineering Excellence Workflow System,,,EsgAnalyticsHub.tsx,esg-analytics-hub,,,
EventPulse.tsx,event-pulse,,,,,,enterprise-sales-motion-dashboard-v2,Enterprise Sales Motion Dashboard,,,EventMarketing.tsx,event-marketing,,,
ExecutiveLogisticsDashboard.tsx,executive-logistics-dashboard,,,,,,eoc-logistics-dashboard-v2,Eoc Logistics Dashboard,,,EventPulse.tsx,event-pulse,,,
FinancialTile.tsx,financial-tile,,,,,,esg-analytics-hub-v2,Esg Analytics Hub,,,ExecutiveLogisticsDashboard.tsx,executive-logistics-dashboard,,,
FleetROICalculator.tsx,fleet-r-o-i-calculator,,,,,,event-pulse-enterprise-dashboard-v2,Event Pulse Enterprise Dashboard,,,FinancialTile.tsx,financial-tile,,,
FleetTile.tsx,fleet-tile,,,,,,event-roi-analytics-dashboard-v2,Event Roi Analytics Dashboard,,,FleetROICalculator.tsx,fleet-r-o-i-calculator,,,
GrowthMarketingHero.tsx,growth-marketing-hero,,,,,,eventpulse-enterprise-dashboard-v2,Eventpulse Enterprise Dashboard,,,FleetTile.tsx,fleet-tile,,,
GrowthMarketingTile.tsx,growth-marketing-tile,,,,,,executive-logistics-dashboard-v2,Executive Logistics Dashboard,,,GrowthMarketingHero.tsx,growth-marketing-hero,,,
GrowthSEMTile.tsx,growth-s-e-m-tile,,,,,,executive-logistics-dashboard-v3,Executive Logistics Dashboard,,,GrowthMarketingTile.tsx,growth-marketing-tile,,,
GTMAudienceTile.tsx,g-t-m-audience-tile,,,,,,experience-dashboard-v2,Experience Dashboard,,,GrowthSEMTile.tsx,growth-s-e-m-tile,,,
GTMAudienceTileHero.tsx,gtm-audience-tile-hero,,,,,,expertisehero-gtm-engine-visualization-v2,Expertisehero Gtm Engine Visualization,,,GTMAudienceTile.tsx,g-t-m-audience-tile,,,
GTMStackHero.tsx,gtm-stack-hero,,,,,,financial-technology-growth-tile-v2,Financial Technology Growth Tile,,,GTMAudienceTileHero.tsx,gtm-audience-tile-hero,,,
GTMStackPro.tsx,gtmstack-pro,,,,,,finservtile-interactive-financial-data-visualization-v2,"Finservtile Interactive Financial

",Fintech Growth Animated Sales Tile,,GTMStackHero.tsx,gtm-stack-hero,,,
HealthCareTile.tsx,health-care-tile,,,,,,fintech-growth-studio-animated-sales-tile-v2,Fintech Growth Studio Animated Sales Tile,,,GTMStackPro.tsx,gtmstack-pro,,,
HigherEDMarketingTile.tsx,higher-ed-marketing-tile,,,,,,fleet-roi-calculator-v2,Fleet Roi Calculator,,,HealthCareTile.tsx,health-care-tile,,,
ImpactDashboard.tsx,impact-dashboard,,,,,,fleetoptima-driver-performance-tile-v2,Fleetoptima Driver Performance Tile,,,HigherEDMarketingTile.tsx,higher-ed-marketing-tile,,,
IndustrialDashboard.tsx,industrial-dashboard,,,,,,grid-master-cyber-infrastructure-dashboard-v2,Grid Master Cyber Infrastructure Dashboard,,,ImpactDashboard.tsx,impact-dashboard,,,
Industrial-MFG-Tile.tsx,industrial-mfg-tile,,,,,,growth-ai-animation,Growth AI Animation,,,IndustrialDashboard.tsx,industrial-dashboard,,,
KpiSpotlightMosaic.tsx,kpi-spotlight-mosaic,,,,,,growth-ai-harmonic-quad-tone,Growth Ai Harmonic Quad Tone,,,Industrial-MFG-Tile.tsx,industrial-mfg-tile,,,
LeadGenTileAnimation.tsx,lead-gen-tile-animation,,,,,,growthcore-component-extraction-v2,Growthcore Component Extraction,,,KpiSpotlightMosaic.tsx,kpi-spotlight-mosaic,,,
Lifecycle-360.tsx,lifecycle-360,,,,,,growthflow-seo-engine-v2,Growthflow Seo Engine,,,LeadGenTileAnimation.tsx,lead-gen-tile-animation,,,
Live-Email-Automation.tsx,live-email-automation,,,,,,growthsem-landing-page-v2,Growthsem Landing Page,,,Lifecycle-360.tsx,lifecycle-360,,,
Manufacturing-LifecycleDashboard.tsx,manufacturing-lifecycle-dashboard,,,,,,growththeme-ai-landing-v2,Growththeme Ai Landing,,,Live-Email-Automation.tsx,live-email-automation,,,
Marketing-Analytics-Carousel.tsx,marketing-analytics-carousel,,,,,,gtm-engine-visualization-hero-animation-v2,Gtm Engine Visualization Hero Animation,,,Manufacturing-LifecycleDashboard.tsx,manufacturing-lifecycle-dashboard,,,
Marketing-Automation-Live-Feed.tsx,marketing-automation-live-feed,,,,,,gtm-product-strategy-audience-tile-v2,Gtm Product Strategy Audience Tile,,,Marketing-Analytics-Carousel.tsx,marketing-analytics-carousel,,,
MarketingFunnel.tsx,marketing-funnel,,,,,,gtm-stack-data-sync-mesh-v2,Gtm Stack Data Sync Mesh,,,Marketing-Automation-Live-Feed.tsx,marketing-automation-live-feed,,,
MarketingOperationsTile.tsx,marketing-operations-tile,,,,,,gtm-strategy-audience-tile-v2,Gtm Strategy Audience Tile,,,MarketingFunnel.tsx,marketing-funnel,,,
MarTechTile.tsx,mar-tech-tile,,,,,,gtmstack-hero-tile-v2,Gtmstack Hero Tile,,,MarketingOperationsTile.tsx,marketing-operations-tile,,,
NexusStakeholderPortal.tsx,nexus-stakeholder-portal,,,,,,gtmstack-industry-template-v2,Gtmstack Industry Template,,,MarTechTile.tsx,mar-tech-tile,,,
NGOSDOTile.tsx,ngo-sdo-tile,,,,,,gtmstack-pro-hero-tile,Gtmstack Pro Hero Tile,,,NexusStakeholderPortal.tsx,nexus-stakeholder-portal,,,
NGOTile.tsx,ngo-tile,,,,,,gtmstack-route-planner-v2,Gtmstack Route Planner,,,NGOSDOTile.tsx,ngo-sdo-tile,,,
OilGasTile.tsx,oil-gas-tile,,,,,,industrial-roi-dashboard-v2,Industrial Roi Dashboard,,,NGOTile.tsx,ngo-tile,,,
Omni-Analytics.tsx,omni-analytics,,,,,,infracore-deepdive-dashboard-v2,Infracore Deepdive Dashboard,,,OilGasTile.tsx,oil-gas-tile,,,
OmnichannelLiveAnalytics.tsx,omnichannel-live-analytics,,,,,,insightagency-strategy-dashboard-v2,Insightagency Strategy Dashboard,,,Omni-Analytics.tsx,omni-analytics,,,
OmniRetailTile.tsx,omni-retail-tile,,,,,,kpi-spotlight-mosaic-v2,Kpi Spotlight Mosaic,,,OmnichannelLiveAnalytics.tsx,omnichannel-live-analytics,,,
PipelineDashboard.tsx,pipeline-dashboard,,,,,,lifecycle-engine-dashboard-v2,Lifecycle Engine Dashboard,,,OmniRetailTile.tsx,omni-retail-tile,,,
PlgJourneyDashboard.tsx,plg-journey-dashboard,,,,,,live-email-automation-ecosystem-v2,Live Email Automation Ecosystem,,,PipelineDashboard.tsx,pipeline-dashboard,,,
PowerGridDashboard.tsx,power-grid-dashboard,,,,,,live-email-automation-ecosystem-v3,Live Email Automation Ecosystem,,,PlgJourneyDashboard.tsx,plg-journey-dashboard,,,
PubSecTile.tsx,pub-sec-tile,,,,,,manufacturing-agency-dashboard-v2,Manufacturing Agency Dashboard,,,PowerGridDashboard.tsx,power-grid-dashboard,,,
QuantumDashboard.tsx,quantum-dashboard,,,,,,manufacturing-hero-dashboard-tile-v2,Manufacturing Hero Dashboard Tile,,,PubSecTile.tsx,pub-sec-tile,,,
RevOpsDashboard.tsx,rev-ops-dashboard,,,,,,manufacturinghero-dashboard-tile-v2,Manufacturinghero Dashboard Tile,,,QuantumDashboard.tsx,quantum-dashboard,,,
RevOpsMeshTile.tsx,rev-ops-mesh-tile,,,,,,marketing-analytics-carousel-v3,Marketing Analytics Carousel,,,RevOpsDashboard.tsx,rev-ops-dashboard,,,
SalesEnablementTile.tsx,sales-enablement-tile,,,,,,marketing-automation-live-feed-v2,Marketing Automation Live Feed,,,RevOpsMeshTile.tsx,rev-ops-mesh-tile,,,
ScalabilityRadar.tsx,scalability-radar,,,,,,marketing-operations-workflow-tile-v2,Marketing Operations Workflow Tile,,,SalesEnablementTile.tsx,sales-enablement-tile,,,
SEOAnimation.tsx,NOT REGISTERED — renders null (no output),,,,,,marketing-revenue-analytics-v2,Marketing Revenue Analytics,,,ScalabilityRadar.tsx,scalability-radar,,,
SEO-GrowthFlow.tsx,seo-growth-flow,,,,,,marketingai-intelligence-dashboard-v2,Marketingai Intelligence Dashboard,,,SEOAnimation.tsx,NOT REGISTERED — renders null (no output),,,
SEOHero.tsx,seo-hero,,,,,,marketingai-neural-dashboard-v2,Marketingai Neural Dashboard,,,SEO-GrowthFlow.tsx,seo-growth-flow,,,
SocialMediaHero.tsx,social-media-hero,,,,,,marketingflow-ai-workflow-v2,Marketingflow Ai Workflow,,,SEOHero.tsx,seo-hero,,,
StrategyInsightsTile.tsx,strategy-insights-tile,,,,,,martech-ai-dashboard-engine-v2,Martech Ai Dashboard Engine,,,SocialMediaHero.tsx,social-media-hero,,,
SystemsProcessTile.tsx,systems-process-tile,,,,,,martech-ai-landing-page-component-v2,Martech Ai Landing Page Component,,,StrategyInsightsTile.tsx,strategy-insights-tile,,,
TelcoAITile.tsx,telco-a-i-tile,,,,,,neonvideo-marketing-landing-page-v2,Neonvideo Marketing Landing Page,,,SystemsProcessTile.tsx,systems-process-tile,,,
VideoCreativeHero.tsx,video-marketing-hero,,,,,,nexus-ai-stakeholder-portal-v2,Nexus Ai Stakeholder Portal,,,TelcoAITile.tsx,telco-a-i-tile,,,
Video-Marketing-Analytics.tsx,video-marketing-analytics,,,,,,nexus-industrial-dashboard-v2,Nexus Industrial Dashboard,,,VideoCreativeHero.tsx,video-marketing-hero,,,
Video-Marketing-Analytics-Tile.tsx,video-marketing-analytics-tile,,,,,,nonprofithero-impact-visualization-v2,Nonprofithero Impact Visualization,,,Video-Marketing-Analytics.tsx,video-marketing-analytics,,,
WasteMan.tsx,waste-management,,,,,,oil-gas-performance-tile-component-v2,Oil Gas Performance Tile Component,,,Video-Marketing-Analytics-Tile.tsx,video-marketing-analytics-tile,,,
WealthManageTile.tsx,wealth-management-tile,,,,,,omnichannel-live-analytics-tile-v2,Omnichannel Live Analytics Tile,,,WasteMan.tsx,waste-management,,,
,,,,,,,pipeline-command-center-v2,Pipeline Command Center,,,WealthManageTile.tsx,wealth-management-tile,,,
,,,,,,,powergrid-digital-modernization-dashboard-v2,Powergrid Digital Modernization Dashboard,,,,,,,
,,,,,,,product-growth-hero-v2,Product Growth Hero,,,,,,,
,,,,,,,quantum-data-field-analytics-v2,Quantum Data Field Analytics,,,,,,,
,,,,,,,retail-pulse-analytics-tile-v2,Retail Pulse Analytics Tile,,,,,,,
,,,,,,,revenue-systems-data-flow-v2,Revenue Systems Data Flow,,,,,,,
,,,,,,,revops-data-sync-mesh-tile-v2,Revops Data Sync Mesh Tile,,,,,,,
,,,,,,,revops-mesh-dashboard-v2,Revops Mesh Dashboard,,,,,,,
,,,,,,,revops-neural-dashboard-v2,Revops Neural Dashboard,,,,,,,
,,,,,,,saas-premium-analytics-component-v2,Saas Premium Analytics Component,,,,,,,
,,,,,,,sales-enablement-hero-animated-tile-v2,Sales Enablement Hero Animated Tile,,,,,,,
,,,,,,,scalability-telemetry-radar-v2,Scalability Telemetry Radar,,,,,,,
,,,,,,,sequence-ladder-analytics-tile-v2,Sequence Ladder Analytics Tile,,,,,,,
,,,,,,,sequenceflow-animated-tile-v2,Sequenceflow Animated Tile,,,,,,,
,,,,,,,social-media-marketing-hero-tile-v2,Social Media Marketing Hero Tile,,,,,,,
,,,,,,,strategist-os-dashboard-v2,Strategist Os Dashboard,,,,,,,
,,,,,,,strategyinsights-tile-component-v2,Strategyinsights Tile Component,,,,,,,
,,,,,,,student-lifecycle-analytics-dashboard-v2,Student Lifecycle Analytics Dashboard,,,,,,,
,,,,,,,systems-operations-hero-component-v2,Systems Operations Hero Component,,,,,,,
,,,,,,,telco-ai-infrastructure-tile-v2,Telco Ai Infrastructure Tile,,,,,,,
,,,,,,,utilities-command-center-tile-v2,Utilities Command Center Tile,,,,,,,
,,,,,,,vibrant-impact-dashboard-v2,Vibrant Impact Dashboard,,,,,,,
,,,,,,,video-marketing-ai-distribution-hub-v2,Video Marketing Ai Distribution Hub,,,,,,,
,,,,,,,video-marketing-analytics-dashboard-v2,Video Marketing Analytics Dashboard,,,,,,,
,,,,,,,waste-management-ai-hero-component-v2,Waste Management Ai Hero Component,,,,,,,
,,,,,,,wellv3-landing-page-health-journey-tile-v2,Wellv3 Landing Page Health Journey Tile,,,,,,,
,,,,,,,workflow-visualization-v2,Workflow Visualization,,,,,,,
