Route,Type,Content File,Slug in File,Content Exists?,Template (Current Filesystem),Status,Notes
/expertise/account-based-marketing,Expertise,content/expertise.ts,account-based-marketing,✓,expertise.topic,UNMAPPED,
/expertise/attribution-and-measurement,Expertise,content/expertise.ts,attribution-and-measurement,✓,expertise.topic,UNMAPPED,
/expertise/bi-data-engineering,Expertise,content/expertise.ts,bi-data-engineering,✓,expertise.topic,UNMAPPED,
/expertise/ai-in-marketing,Expertise,content/expertise.ts,ai-in-marketing,✓,expertise.topic,UNMAPPED,
/expertise/content-marketing,Expertise,content/expertise.ts,content-marketing,✓,expertise.topic,UNMAPPED,
/expertise/content-strategy-systems,Expertise,content/expertise.ts,content-strategy-systems,✓,expertise.topic,UNMAPPED,
/expertise/channel-partner-marketing,Expertise,content/expertise.ts,channel-partner-marketing,✓,expertise.topic,UNMAPPED,
/expertise/customer-experience,Expertise,content/expertise.ts,customer-experience,✓,expertise.topic,UNMAPPED,
/expertise/customer-marketing,Expertise,content/expertise.ts,customer-marketing,✓,expertise.topic,UNMAPPED,
/expertise/data-governance,Expertise,content/expertise.ts,data-governance,✓,expertise.topic,UNMAPPED,
/expertise/digital-marketing,Expertise,content/expertise.ts,digital-marketing,✓,expertise.topic,UNMAPPED,
/expertise/email-marketing,Expertise,content/expertise.ts,email-marketing,✓,expertise.topic,UNMAPPED,
/expertise/event-field-marketing,Expertise,content/expertise.ts,event-field-marketing,✓,expertise.topic,UNMAPPED,
/expertise/event-marketing,Expertise,content/expertise.ts,event-marketing,✓,expertise.topic,UNMAPPED,
/expertise/growth-marketing,Expertise,content/expertise.ts,growth-marketing,✓,expertise.topic,UNMAPPED,
/expertise/lifecycle-marketing,Expertise,content/expertise.ts,lifecycle-marketing,✓,expertise.topic,UNMAPPED,
/expertise/marketing-automation,Expertise,content/expertise.ts,marketing-automation,✓,expertise.topic,UNMAPPED,
/expertise/marketing-analytics-reporting,Expertise,content/expertise.ts,marketing-analytics-reporting,✓,expertise.topic,UNMAPPED,
/expertise/marketing-operations,Expertise,content/expertise.ts,marketing-operations,✓,expertise.topic,UNMAPPED,
/expertise/martech-optimization,Expertise,content/expertise.ts,martech-optimization,✓,expertise.topic,UNMAPPED,
/expertise/omnichannel-marketing,Expertise,content/expertise.ts,omnichannel-marketing,✓,expertise.topic,UNMAPPED,
/expertise/paid-advertising,Expertise,content/expertise.ts,paid-advertising,✓,expertise.topic,UNMAPPED,
/expertise/paid-advertising-sem,Expertise,content/expertise.ts,paid-advertising-sem,✓,expertise.topic,UNMAPPED,
/expertise/product-marketing,Expertise,content/expertise.ts,product-marketing,✓,expertise.topic,UNMAPPED,
/expertise/revenue-operations,Expertise,content/expertise.ts,revenue-operations,✓,expertise.topic,UNMAPPED,
/expertise/search-engine-optimization,Expertise,content/expertise.ts,search-engine-optimization,✓,expertise.topic,UNMAPPED,
/expertise/sales-enablement,Expertise,content/expertise.ts,sales-enablement,✓,expertise.topic,UNMAPPED,
/expertise/sales-enablement-alignment,Expertise,content/expertise.ts,sales-enablement-alignment,✓,expertise.topic,UNMAPPED,
/expertise/social-media,Expertise,content/expertise.ts,social-media,✓,expertise.topic,UNMAPPED,
/expertise/social-media-marketing,Expertise,content/expertise.ts,social-media-marketing,✓,expertise.topic,UNMAPPED,
/expertise/video-marketing,Expertise,content/expertise.ts,video-marketing,✓,expertise.topic,UNMAPPED,
/industries/fintech,Industries,content/industries.ts,fintech,✓,industry.base,UNMAPPED,
/industries/financial-services,Industries,content/industries.ts,financial-services,✓,industry.base,MAPPED,Already in registry
/industries/healthtech,Industries,content/industries.ts,healthtech,✓,industry.base,UNMAPPED,
/industries/healthcare,Industries,content/industries.ts,healthcare,✓,industry.base,MAPPED,Already in registry
/industries/developer-tools,Industries,content/industries.ts,developer-tools,✓,industry.base,UNMAPPED,
/industries/ecommerce,Industries,content/industries.ts,ecommerce,✓,industry.base,UNMAPPED,
/industries/energy-utilities,Industries,content/industries.ts,energy-utilities,✓,industry.base,UNMAPPED,
/industries/public-sector-education,Industries,content/industries.ts,public-sector-education,✓,industry.base,UNMAPPED,
/industries/pubsec-government,Industries,content/industries.ts,pubsec-government,✓,industry.base,MAPPED,Already in registry
/industries/retail-ecommerce,Industries,content/industries.ts,retail-ecommerce,✓,industry.base,MAPPED,Already mapped but uses alias
/industries/supply-chain-logistics,Industries,content/industries.ts,supply-chain-logistics,✓,industry.base,UNMAPPED,
/industries/fleet-management-logistics,Industries,content/industries.ts,fleet-management-logistics,✓,industry.base,MAPPED,Already in registry
/industries/cybersecurity,Industries,content/industries.ts,cybersecurity,✓,industry.base,UNMAPPED,
/industries/climate-tech,Industries,content/industries.ts,climate-tech,✓,industry.base,UNMAPPED,
/industries/technology-saas,Industries,content/industries.ts,technology-saas,✓,industry.base,UNMAPPED,
/industries/ai-ml,Industries,content/industries.ts,ai-ml,✓,industry.base,UNMAPPED,
/industries/b2b-saas,Industries,content/industries.ts,b2b-saas,✓,industry.base,MAPPED,Already in registry
/industries/manufacturing,Industries,content/industries.ts,manufacturing,✓,industry.base,MAPPED,Already in registry
/case-studies/abm-system-launch-prgx,Case Studies,content/case-studies.ts,abm-system-launch-prgx,✓,caseStudy.base,UNMAPPED,
/case-studies/abm-journey-discrete-manufacturing-prgx,Case Studies,content/case-studies.ts,abm-journey-discrete-manufacturing-prgx,✓,caseStudy.base,UNMAPPED,
/case-studies/prgx-unified-revenue-operating-model,Case Studies,content/case-studies.ts,prgx-unified-revenue-operating-model,✓,caseStudy.base,UNMAPPED,
/case-studies/amcs-verticalized-abm-launch,Case Studies,content/case-studies.ts,amcs-verticalized-abm-launch,✓,caseStudy.base,UNMAPPED,
/case-studies/end-to-end-abm-framework-amcs,Case Studies,content/case-studies.ts,end-to-end-abm-framework-amcs,✓,caseStudy.base,UNMAPPED,
/case-studies/redhat-global-abm-activation,Case Studies,content/case-studies.ts,redhat-global-abm-activation,✓,caseStudy.base,UNMAPPED,
/case-studies/enterprise-abm-activation-red-hat,Case Studies,content/case-studies.ts,enterprise-abm-activation-red-hat,✓,caseStudy.base,UNMAPPED,
/case-studies/salesforce-demandgen-analytics-platform,Case Studies,content/case-studies.ts,salesforce-demandgen-analytics-platform,✓,caseStudy.base,UNMAPPED,
/case-studies/revenue-analytics-dashboard-salesforce,Case Studies,content/case-studies.ts,revenue-analytics-dashboard-salesforce,✓,caseStudy.base,UNMAPPED,
/case-studies/data-qa-integrity-pipeline-salesforce,Case Studies,content/case-studies.ts,data-qa-integrity-pipeline-salesforce,✓,caseStudy.base,UNMAPPED,
/case-studies/salesforce-fortune50-abm-events,Case Studies,content/case-studies.ts,salesforce-fortune50-abm-events,✓,caseStudy.base,UNMAPPED,
/case-studies/singles-and-doubles-playbook-salesforce,Case Studies,content/case-studies.ts,singles-and-doubles-playbook-salesforce,✓,caseStudy.base,UNMAPPED,
/case-studies/sales-cloud-global-campaigns-salesforce,Case Studies,content/case-studies.ts,sales-cloud-global-campaigns-salesforce,✓,caseStudy.base,UNMAPPED,
/case-studies/getsatisfaction-growth-automation,Case Studies,content/case-studies.ts,getsatisfaction-growth-automation,✓,caseStudy.base,UNMAPPED,
/case-studies/content-and-seo-infrastructure-crowd-factory-marketo,Case Studies,content/case-studies.ts,content-and-seo-infrastructure-crowd-factory-marketo,✓,caseStudy.base,UNMAPPED,
/case-studies/salemglobal-smb-seo-ppc-engine,Case Studies,content/case-studies.ts,salemglobal-smb-seo-ppc-engine,✓,caseStudy.base,UNMAPPED,
/case-studies/event-to-store-lift-retail,Case Studies,content/case-studies.ts,event-to-store-lift-retail,✓,caseStudy.base,MAPPED,Already in registry
/case-studies/marketing-flight-planner-ai-tool,Case Studies,content/case-studies.ts,marketing-flight-planner-ai-tool,✓,caseStudy.base,UNMAPPED,
/case-studies/career-world-4d-interactive-resume,Case Studies,content/case-studies.ts,career-world-4d-interactive-resume,✓,caseStudy.base,UNMAPPED,
